category,name,rating,originalRating,reviewTitle,reviewContent,likeCount,upVotes
beli-harddisk-eksternal,Kamal U.,5,,null,bagus  mantap dah sesui pesanan,0,0
beli-harddisk-eksternal,yofanca m.,4,,null,"Bagus, sesuai foto",0,0
beli-harddisk-eksternal,Lazada Customer,5,,ok mantaaapppp barang sesuai pesanan.. good,okkkkk mantaaaaaaapppp ... goood,0,0
beli-harddisk-eksternal,Lazada Customer,4,,,bagus sesuai,0,0
beli-harddisk-eksternal,Yosep M.,5,,null,null,0,0
beli-harddisk-eksternal,Deden,5,,null,null,0,0
beli-harddisk-eksternal,Yeana,5,,null,null,0,0
beli-harddisk-eksternal,nurfarida,1,,ada pengirimn ntb bima,bima,4,4
beli-harddisk-eksternal,Fadjar B.,1,,,baru 10 bulan layarnya dah bergaris,0,0
beli-harddisk-eksternal,agung p.,5,,Barang bagus sesuai specs,"Pesan rabu sore,minggu sore sampe,,barang sesuai specs mantab,tks lazada",0,0
beli-harddisk-eksternal,Hendra W.,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Guest,1,,Ini cicil pake apa?,"Mau tanya ini cicilnya pake apa ya,cc bkn?",7,7
beli-harddisk-eksternal,Yan M.,5,,Beli cash sesuai Harga di atas,Apakah TV. Tsb. Suda ada anti gores..,1,1
beli-harddisk-eksternal,Andry M.,1,,Pesanan tidak tepat waktu,Pengirim barang tidak sesuai janji. Katanya express 1 hari. Dari hari jumat barang sampai hari rabu. SeMoga barangnya awet saja.,1,1
beli-harddisk-eksternal,Leonard,4,,TV ok,Kualitas ok,1,1
beli-harddisk-eksternal,Lazada Guest,1,,Cara mendapatkan garansi,"Bagaimana tv LED saya merek Sharp 24 hitam LC 24LE170i sekarang mati total baru 2 bln kemana saya harus menghubungi dan meminta bantuan mohon kebijakan dan solusinya ,, so,alnya masih garansi kepada pihak lazada saya mohon bantuannya terimakasih!!!",14,14
beli-harddisk-eksternal,Bun D.,3,,null,Pengiriman super lama.. tapi datang juga sich,0,0
beli-harddisk-eksternal,Fadoli,5,,"Sharp HD LED TV 24"" - LC-24LE175I - Hitam",ok barang sampai dengan Baik.. smoga terus di pertahankan...,0,0
beli-harddisk-eksternal,Akun K.,5,,null,null,0,0
beli-harddisk-eksternal,rina,3,,pengiriman nya laaamaaaaa,null,0,0
beli-harddisk-eksternal,Ega,5,,barangnya sangat bagus. dan cepat juga. thank you lazada,null,0,0
beli-harddisk-eksternal,Lazada Guest,5,,Menanyakn cara ciciln,Kalau mau cicilan gmna cra nya??,5,5
beli-harddisk-eksternal,Fitriyansah E.,5,,Lima Bintang,barang sudah sampai dan bagus thanks lazada,2,2
beli-harddisk-eksternal,Lazada Guest,5,,Bagusss,Pengiriman cepat sipplahhh.......,5,5
beli-harddisk-eksternal,Lazada Customer,5,,null,Sampe Sekarang masih Ok ne laptop...,0,0
beli-harddisk-eksternal,DEUIS S.,5,,null,null,0,0
beli-harddisk-eksternal,Garna T.,3,,null,null,0,0
beli-harddisk-eksternal,Muhammad R.,5,,null,null,0,0
beli-harddisk-eksternal,Aushaf,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Guest,5,,Good,Pengiriman cepat..  Packaging good..  Barang oke. Thnks seller Thnks Lazada,0,0
beli-harddisk-eksternal,Amarullah,5,,Good job,"Barang diterima dengan selamat.. Produk sesuai dengan deskripsi.. Barang nyape 3 hari ke pekanbaru,riau.. Terimakasih lazada dan kotakom pucang, laptopnya mantap..",0,0
beli-harddisk-eksternal,Hanurawan H.,5,,null,null,0,0
beli-harddisk-eksternal,Dwi,5,,TOP,"Senang belanja disini,pelayanan oke,barang sesuai ekspektasi..order senin hari selasa malam udah nyampe + di settingin sxan sama kurirnya...pokoknya top deh..thanks Lazada",1,1
beli-harddisk-eksternal,Rosalina S.,4,,null,belum test barangnya,0,0
beli-harddisk-eksternal,Wan D.,1,,Cape deh!,Sudah cape2 transfer tapi pesanan ditolak,0,0
beli-harddisk-eksternal,rusmana,5,,null,null,0,0
beli-harddisk-eksternal,Lazada Customer,3,,null,null,0,0
beli-harddisk-eksternal,dini w.,5,,"bagus saya suka, no tipu2...terbaik emanggggggg👍",null,2,2
beli-harddisk-eksternal,dwi H.,5,,null,null,0,0
beli-harddisk-eksternal,HARYATI,5,,harga bersahabat...kwalitas ok,null,0,0
beli-harddisk-eksternal,firman S.,4,,null,null,0,0
beli-harddisk-eksternal,nirmala O.,4,,null,null,0,0
beli-harddisk-eksternal,Anggun W.,5,,Lima Bintang,"Barang Ok, kualitas bagus dengan harga yg cukup miring, kualitas gambar juga ok, pengiriman lumayan, ga nyesel pokonya beli TV ini",3,3
beli-harddisk-eksternal,Fathin,5,,Ke Gresik bisa gak ya..???,Saya minat tapi kalau dikirim ke Gresik Jawa Timur bisa gak? Klo dr info pengiriman bebas tapi takut gk sampai.. Dan tanya apa ini sdh full HD apa blm? Terima kasih,31,31
beli-harddisk-eksternal,dendi i.,5,,null,null,0,0
beli-harddisk-eksternal,Eti A.,4,,Cilegon bisa nggak??,Pengn tivinya,1,1
beli-harddisk-eksternal,paramitha a.,5,,Lima Bintang,,0,0
beli-harddisk-eksternal,Lazada Guest,5,,puasss,Mantapppp barang nya,0,0
beli-harddisk-eksternal,Lazada Guest,3,,puassss,Barang mulusss mantapppppp,0,0
beli-harddisk-eksternal,Risa K.,5,,null,null,0,0
beli-harddisk-eksternal,Fuady S.,1,,Spesifikasi utama terdapat intel core i5,"Laptop ini memiliki spesifikasi yang bagus dan harga yang terjangkau, namun pada tab spesifikasi utama produk itu emang intel core i5 atau salah buat? Di judul dikatakan core i7",1,1
beli-harddisk-eksternal,Ramadhana,5,,"Bagus, diterima dengan aman.","Barang sampai dengan aman. Kemampuan laptop sesuai dengan yang di iklankan. Hanya saja, laptop datang dengan DOS sehingga harus di install sendiri windows nya. Overall, it's worth the money.",0,0
beli-harddisk-eksternal,Jendra,5,,Bagus,Barang sampai 2 hari dengan selamat dan sesuai deskripsi,2,2
